2022-12-14 10:44:48,15,29,4,R_3pccoTwajNkl89t,2022-12-14 10:43:36,2022-12-14 10:44:48
2022-12-14 10:45:23,27,13,8,R_3fUYGRgvBSfmNvB,2022-12-14 10:44:14,2022-12-14 10:45:22
2022-12-14 10:46:17,22,26,5,R_3gSo7M83x44UdvZ,2022-12-14 10:44:21,2022-12-14 10:46:17
2022-12-14 10:47:30,17,11,10,R_1P76HVFoKvZ6BW5,2022-12-14 10:45:55,2022-12-14 10:47:30
2022-12-14 10:48:39,28,16,4,R_3snMd14Y8rouMc4,2022-12-14 10:47:07,2022-12-14 10:48:38
2022-12-14 11:03:41,29,20,9,R_2awWWzfhWSnoTCT,2022-12-14 11:02:30,2022-12-14 11:03:41
2022-12-14 12:19:28,25,26,9,R_2RWl794vmBoQXTJ,2022-12-14 12:18:31,2022-12-14 12:19:28
2022-12-14 12:21:08,24,34,9,R_vBHsL5m0DIbG1k5,2022-12-14 12:19:20,2022-12-14 12:21:07
2022-12-15 14:26:09,35,12,11,R_1MMw3VW3XiJ8JXB,2022-12-15 14:22:54,2022-12-15 14:26:08
2022-12-15 14:47:08,41,11,13,R_RqyYzzcrh8aU3EB,2022-12-15 14:45:28,2022-12-15 14:47:08
2022-12-21 20:33:25,0,0,0,R_1FDnps8kreSXDBt,2022-12-12 19:35:42,2022-12-14 20:33:24
