i,Time,Data
305,6.1,67.0
306,6.12,63.0
307,6.14,60.0
308,6.16,65456.0
309,6.18,65476.0
310,6.2,65456.0
311,6.22,63.0
312,6.24,60.0
313,6.26,65472.0
314,6.28,65492.0
315,6.3,65472.0
316,6.32,64.0
317,6.34,61.0
318,6.36,65472.0
319,6.38,65488.0
320,6.4,68.0
321,6.42,63.0
322,6.44,61.0
323,6.46,65480.0
324,6.48,65492.0
325,6.5,65448.0
326,6.52,63.0
327,6.54,59.0
328,6.56,65472.0
329,6.58,65488.0
330,6.6,69.0
331,6.62,63.0
332,6.64,60.0
333,6.66,65488.0
334,6.68,65488.0
335,6.7,65464.0
336,6.72,64.0
337,6.74,60.0
338,6.76,65480.0
339,6.78,65480.0
340,6.8,69.0
341,6.82,63.0
342,6.84,61.0
343,6.86,65464.0
344,6.88,65488.0
345,6.9,67.0
346,6.92,62.0
347,6.94,59.0
348,6.96,65472.0
349,6.98,65472.0
350,7.0,65464.0
351,7.02,65.0
352,7.04,61.0
353,7.06,65488.0
354,7.08,65472.0
355,7.1,68.0
356,7.12,62.0
357,7.14,61.0
358,7.16,60.0
359,7.18,63.0
360,7.2,61.0
361,7.22,62.0
362,7.24,60.0
363,7.26,65472.0
364,7.28,65484.0
365,7.3,65480.0
366,7.32,64.0
367,7.34,60.0
368,7.36,65472.0
369,7.38,65488.0
370,7.4,67.0
371,7.42,62.0
372,7.44,61.0
373,7.46,61.0
374,7.48,65480.0
375,7.5,20752.0
376,7.52,65.0
377,7.54,65472.0
378,7.56,65472.0
379,7.58,65472.0
380,7.6,65472.0
381,7.62,64.0
382,7.64,61.0
383,7.66,65472.0
384,7.68,65480.0
385,7.7,67.0
386,7.72,62.0
387,7.74,61.0
388,7.76,65456.0
389,7.78,65488.0
390,7.8,66.0
391,7.82,63.0
392,7.84,60.0
393,7.86,65472.0
394,7.88,65480.0
395,7.9,65480.0
396,7.92,63.0
397,7.94,60.0
398,7.96,65480.0
399,7.98,65484.0
400,8.0,69.0
401,8.02,64.0
402,8.04,60.0
403,8.06,61.0
404,8.08,65492.0
405,8.1,67.0
406,8.12,64.0
407,8.14,60.0
408,8.16,65472.0
409,8.18,65484.0
410,8.2,65472.0
411,8.22,65.0
412,8.24,61.0
413,8.26,65472.0
414,8.28,65472.0
415,8.3,67.0
416,8.32,63.0
417,8.34,61.0
418,8.36,65472.0
419,8.38,65484.0
420,8.4,65472.0
421,8.42,66.0
422,8.44,60.0
423,8.46,65472.0
424,8.48,65488.0
425,8.5,68.0
426,8.52,63.0
427,8.54,60.0
428,8.56,65464.0
429,8.58,65484.0
430,8.6,66.0
431,8.62,61.0
432,8.64,60.0
433,8.66,65456.0
434,8.68,65488.0
435,8.7,65440.0
436,8.72,63.0
437,8.74,61.0
438,8.76,65472.0
439,8.78,65476.0
440,8.8,65472.0
441,8.82,64.0
442,8.84,61.0
443,8.86,65472.0
444,8.88,65488.0
445,8.9,65464.0
446,8.92,65.0
447,8.94,60.0
448,8.96,65456.0
449,8.98,65488.0
450,9.0,65472.0
451,9.02,63.0
452,9.04,60.0
453,9.06,65460.0
454,9.08,65472.0
455,9.1,65472.0
456,9.12,64.0
457,9.14,61.0
458,9.16,65472.0
459,9.18,65484.0
460,9.2,65472.0
461,9.22,65.0
462,9.24,60.0
463,9.26,65464.0
464,9.28,65472.0
465,9.3,65472.0
466,9.32,64.0
467,9.34,60.0
468,9.36,65480.0
469,9.38,65484.0
470,9.4,65472.0
471,9.42,63.0
472,9.44,59.0
473,9.46,65464.0
474,9.48,65488.0
475,9.5,65464.0
476,9.52,64.0
477,9.54,60.0
478,9.56,65472.0
479,9.58,65492.0
480,9.6,65472.0
481,9.62,63.0
482,9.64,60.0
483,9.66,65456.0
484,9.68,65480.0
485,9.7,66.0
486,9.72,62.0
487,9.74,61.0
488,9.76,65464.0
489,9.78,65492.0
490,9.8,68.0
491,9.82,63.0
492,9.84,62.0
493,9.86,61.0
494,9.88,65492.0
495,9.9,65.0
496,9.92,63.0
497,9.94,60.0
498,9.96,65472.0
499,9.98,65472.0
500,10.0,65472.0
501,10.02,65.0
502,10.04,61.0
503,10.06,65476.0
504,10.08,65472.0
505,10.1,65472.0
506,10.12,64.0
507,10.14,59.0
508,10.16,65472.0
509,10.18,65484.0
510,10.2,65472.0
511,10.22,63.0
512,10.24,61.0
513,10.26,65472.0
514,10.28,65472.0
515,10.3,65472.0
516,10.32,64.0
517,10.34,61.0
518,10.36,65476.0
519,10.38,65472.0
520,10.4,350.0
521,10.42,64.0
522,10.44,60.0
523,10.46,65472.0
524,10.48,65480.0
525,10.5,65476.0
526,10.52,62.0
527,10.54,65456.0
528,10.56,65480.0
529,10.58,65480.0
